repo	skill
https://github.com/vercel-labs/agent-skills	vercel-react-best-practices
https://github.com/anthropics/skills	skill-creator
https://github.com/coreyhaines31/marketingskills	copywriting
https://github.com/elysiajs/skills	elysiajs
